title,creator,type,institution,country,year,rights,link
View of the city harbour,Lucas Cranach,IMAGE,Bayerische Staatsbibliothek,Germany,1953,CC BY-SA 4.0,https://opacplus.bsb-muenchen.de/search?id=482364
Coat of arms,Caspar David Friedrich,TEXT,Staatliche Museen zu Berlin,Germany,1926,CC0 Public Domain,https://id.smb.museum/object/470858
Etching of the cathedral,Caspar David Friedrich,IMAGE,Bayerische Staatsbibliothek,Germany,1370,CC BY 4.0,https://opacplus.bsb-muenchen.de/search?id=532322
Architectural drawing,Käthe Kollwitz,TEXT,Bildarchiv Foto Marburg,Germany,1924,CC BY 4.0,https://www.bildindex.de/document/obj925622
Genre scene,Lucas Cranach,TEXT,Deutsches Historisches Museum,Germany,1729,In Copyright,https://www.dhm.de/datenbank/dhm.php?seite=5&fld_0=466643
Parish register entry,Albrecht Dürer,TEXT,Bayerische Staatsbibliothek,Germany,1949,CC BY-SA 4.0,https://opacplus.bsb-muenchen.de/search?id=392136
Coat of arms,Hans Holbein,SOUND,Staatliche Museen zu Berlin,Germany,1958,No Copyright Non-Commercial,https://id.smb.museum/object/447235
View of the city harbour,Caspar David Friedrich,TEXT,Staatliche Museen zu Berlin,Germany,1893,CC0 Public Domain,https://id.smb.museum/object/725550
Parish register entry,Lucas Cranach,IMAGE,Staatliche Museen zu Berlin,Germany,1790,No Copyright Non-Commercial,https://id.smb.museum/object/299312
Legal document,Albrecht Dürer,TEXT,Bildarchiv Foto Marburg,Germany,1972,In Copyright,https://www.bildindex.de/document/obj173372
Illuminated miniature,Käthe Kollwitz,IMAGE,Staatliche Museen zu Berlin,Germany,1752,CC BY-SA 4.0,https://id.smb.museum/object/631756
Folk song recording,Lucas Cranach,TEXT,Staatliche Museen zu Berlin,Germany,1848,CC BY 4.0,https://id.smb.museum/object/301158
Parish register entry,Max Liebermann,TEXT,Bayerische Staatsbibliothek,Germany,1346,No Copyright Non-Commercial,https://opacplus.bsb-muenchen.de/search?id=974224
Printed book page,Lucas Cranach,VIDEO,Bayerische Staatsbibliothek,Germany,1932,In Copyright,https://opacplus.bsb-muenchen.de/search?id=563638
Coat of arms,Käthe Kollwitz,IMAGE,Bildarchiv Foto Marburg,Germany,1881,CC0 Public Domain,https://www.bildindex.de/document/obj397571
Coat of arms,Albrecht Dürer,TEXT,Staatliche Museen zu Berlin,Germany,1909,CC BY-SA 4.0,https://id.smb.museum/object/335552
Official decree,Albrecht Dürer,TEXT,Deutsches Historisches Museum,Germany,1929,No Copyright Non-Commercial,https://www.dhm.de/datenbank/dhm.php?seite=5&fld_0=991014
Town plan,Käthe Kollwitz,TEXT,Bildarchiv Foto Marburg,Germany,1831,,https://www.bildindex.de/document/obj502630
Trade contract,Käthe Kollwitz,IMAGE,Bayerische Staatsbibliothek,Germany,1822,CC0 Public Domain,https://opacplus.bsb-muenchen.de/search?id=916232
Census record,Albrecht Dürer,TEXT,Bildarchiv Foto Marburg,Germany,1618,CC0 Public Domain,https://www.bildindex.de/document/obj578634
Newspaper article,Lucas Cranach,SOUND,Staatliche Museen zu Berlin,Germany,1998,No Copyright Non-Commercial,https://id.smb.museum/object/567574
Woodcut illustration,Lucas Cranach,TEXT,Bildarchiv Foto Marburg,Germany,1898,CC BY 4.0,https://www.bildindex.de/document/obj980660
Architectural drawing,Käthe Kollwitz,TEXT,Bildarchiv Foto Marburg,Germany,1915,In Copyright,https://www.bildindex.de/document/obj181247
Trade contract,Hans Holbein,VIDEO,Staatliche Museen zu Berlin,Germany,1559,No Copyright Non-Commercial,https://id.smb.museum/object/184491
Town plan,Käthe Kollwitz,IMAGE,Bildarchiv Foto Marburg,Germany,1842,CC BY 4.0,https://www.bildindex.de/document/obj167348
Genre scene,Lucas Cranach,IMAGE,Bildarchiv Foto Marburg,Germany,1988,In Copyright,https://www.bildindex.de/document/obj508396
Official decree,Max Liebermann,SOUND,Deutsches Historisches Museum,Germany,1749,CC0 Public Domain,https://www.dhm.de/datenbank/dhm.php?seite=5&fld_0=468845
Official decree,Max Liebermann,TEXT,Bildarchiv Foto Marburg,Germany,1803,CC BY 4.0,https://www.bildindex.de/document/obj386193
Illuminated miniature,Hans Holbein,SOUND,Bildarchiv Foto Marburg,Germany,1816,CC BY 4.0,https://www.bildindex.de/document/obj981334
Battle scene,Lucas Cranach,IMAGE,Deutsches Historisches Museum,Germany,1618,,https://www.dhm.de/datenbank/dhm.php?seite=5&fld_0=549433
Parish register entry,Albrecht Dürer,TEXT,Bayerische Staatsbibliothek,Germany,1843,CC BY-SA 4.0,https://opacplus.bsb-muenchen.de/search?id=321941
Architectural drawing,Hans Holbein,SOUND,Bildarchiv Foto Marburg,Germany,1476,CC0 Public Domain,https://www.bildindex.de/document/obj593152
Portrait of a woman,Hans Holbein,TEXT,Deutsches Historisches Museum,Germany,,CC0 Public Domain,https://www.dhm.de/datenbank/dhm.php?seite=5&fld_0=919182
Genre scene,Albrecht Dürer,TEXT,Deutsches Historisches Museum,Germany,1716,CC0 Public Domain,https://www.dhm.de/datenbank/dhm.php?seite=5&fld_0=751517
3D scan of sculpture,Käthe Kollwitz,IMAGE,Bildarchiv Foto Marburg,Germany,1949,CC BY 4.0,https://www.bildindex.de/document/obj587623
Woodcut illustration,Caspar David Friedrich,IMAGE,Staatliche Museen zu Berlin,Germany,1506,CC BY 4.0,https://id.smb.museum/object/426147
Parish register entry,Max Liebermann,SOUND,Staatliche Museen zu Berlin,Germany,1676,,https://id.smb.museum/object/307963
Diary entry,Albrecht Dürer,TEXT,Bayerische Staatsbibliothek,Germany,1950,,https://opacplus.bsb-muenchen.de/search?id=729577
Coat of arms,Hans Holbein,SOUND,Deutsches Historisches Museum,Germany,1843,CC BY-SA 4.0,https://www.dhm.de/datenbank/dhm.php?seite=5&fld_0=172306
Religious icon,Lucas Cranach,3D,Deutsches Historisches Museum,Germany,1858,In Copyright,https://www.dhm.de/datenbank/dhm.php?seite=5&fld_0=479781
Illuminated miniature,Lucas Cranach,IMAGE,Bayerische Staatsbibliothek,Germany,1768,No Copyright Non-Commercial,https://opacplus.bsb-muenchen.de/search?id=782054
Newspaper article,Lucas Cranach,SOUND,Bildarchiv Foto Marburg,Germany,1731,,https://www.bildindex.de/document/obj721254
Map of the region,Hans Holbein,3D,Deutsches Historisches Museum,Germany,1848,In Copyright,https://www.dhm.de/datenbank/dhm.php?seite=5&fld_0=697530
Diary entry,Albrecht Dürer,3D,Staatliche Museen zu Berlin,Germany,1845,CC BY-SA 4.0,https://id.smb.museum/object/290672
Trade contract,Hans Holbein,TEXT,Staatliche Museen zu Berlin,Germany,1986,No Copyright Non-Commercial,https://id.smb.museum/object/835244
Battle scene,Max Liebermann,TEXT,Deutsches Historisches Museum,Germany,1871,CC BY 4.0,https://www.dhm.de/datenbank/dhm.php?seite=5&fld_0=855053
Portrait of a woman,Käthe Kollwitz,3D,Bayerische Staatsbibliothek,Germany,1802,,https://opacplus.bsb-muenchen.de/search?id=614663
Parish register entry,Hans Holbein,TEXT,Deutsches Historisches Museum,Germany,1774,,https://www.dhm.de/datenbank/dhm.php?seite=5&fld_0=355123
Manuscript fragment,Lucas Cranach,VIDEO,Staatliche Museen zu Berlin,Germany,1789,,https://id.smb.museum/object/677124
Architectural drawing,Hans Holbein,TEXT,Bildarchiv Foto Marburg,Germany,1920,CC BY 4.0,https://www.bildindex.de/document/obj226516
Genre scene,Käthe Kollwitz,IMAGE,Deutsches Historisches Museum,Germany,1892,CC BY 4.0,https://www.dhm.de/datenbank/dhm.php?seite=5&fld_0=874483
Chronicle of the kingdom,Albrecht Dürer,TEXT,Staatliche Museen zu Berlin,Germany,1701,CC BY 4.0,https://id.smb.museum/object/478411
View of the city harbour,Hans Holbein,IMAGE,Bayerische Staatsbibliothek,Germany,1908,No Copyright Non-Commercial,https://opacplus.bsb-muenchen.de/search?id=406327
3D scan of sculpture,Albrecht Dürer,IMAGE,Bildarchiv Foto Marburg,Germany,1843,CC BY-SA 4.0,https://www.bildindex.de/document/obj592198
Diary entry,Albrecht Dürer,TEXT,Bayerische Staatsbibliothek,Germany,1925,In Copyright,https://opacplus.bsb-muenchen.de/search?id=219629
Still life with flowers,Albrecht Dürer,IMAGE,Bildarchiv Foto Marburg,Germany,1838,CC BY 4.0,https://www.bildindex.de/document/obj950544
Folk song recording,Caspar David Friedrich,IMAGE,Deutsches Historisches Museum,Germany,1879,In Copyright,https://www.dhm.de/datenbank/dhm.php?seite=5&fld_0=735770
Printed book page,Max Liebermann,SOUND,Bayerische Staatsbibliothek,Germany,1927,In Copyright,https://opacplus.bsb-muenchen.de/search?id=411797
Digital reconstruction of building,Max Liebermann,IMAGE,Staatliche Museen zu Berlin,Germany,1964,,https://id.smb.museum/object/204053
Landscape with river,Hans Holbein,IMAGE,Bayerische Staatsbibliothek,Germany,1820,CC BY 4.0,https://opacplus.bsb-muenchen.de/search?id=282256
Town plan,Lucas Cranach,3D,Deutsches Historisches Museum,Germany,1729,No Copyright Non-Commercial,https://www.dhm.de/datenbank/dhm.php?seite=5&fld_0=592738
Town plan,Käthe Kollwitz,TEXT,Staatliche Museen zu Berlin,Germany,1916,In Copyright,https://id.smb.museum/object/174637
Folk song recording,Lucas Cranach,IMAGE,Bayerische Staatsbibliothek,Germany,1568,CC BY 4.0,https://opacplus.bsb-muenchen.de/search?id=779094
Landscape with river,Albrecht Dürer,IMAGE,Bayerische Staatsbibliothek,Germany,1936,CC BY-SA 4.0,https://opacplus.bsb-muenchen.de/search?id=723948
Printed book page,Lucas Cranach,IMAGE,Staatliche Museen zu Berlin,Germany,1917,,https://id.smb.museum/object/418862
Digital reconstruction of building,Lucas Cranach,IMAGE,Bildarchiv Foto Marburg,Germany,1938,CC0 Public Domain,https://www.bildindex.de/document/obj553014
Map of the region,Albrecht Dürer,IMAGE,Staatliche Museen zu Berlin,Germany,1937,,https://id.smb.museum/object/976566
3D scan of sculpture,Käthe Kollwitz,TEXT,Deutsches Historisches Museum,Germany,1930,CC0 Public Domain,https://www.dhm.de/datenbank/dhm.php?seite=5&fld_0=900177
3D scan of sculpture,Eugène Delacroix,IMAGE,Musée du Louvre,France,1905,In Copyright,https://collections.louvre.fr/ark:/53355/765620
Letter from the archive,Eugène Delacroix,SOUND,Musée du Louvre,France,1541,CC BY-SA 4.0,https://collections.louvre.fr/ark:/53355/802685
Chronicle of the kingdom,Jean-Auguste Ingres,3D,Réunion des musées nationaux,France,1935,,https://www.photo.rmn.fr/archive/519904
Letter from the archive,Jean-Auguste Ingres,IMAGE,Bibliothèque nationale de France,France,1697,CC BY-SA 4.0,https://gallica.bnf.fr/ark:/12148/438977
Coat of arms,Gustave Courbet,IMAGE,Musée du Louvre,France,1824,No Copyright Non-Commercial,https://collections.louvre.fr/ark:/53355/584417
Portrait of a woman,Gustave Courbet,3D,Réunion des musées nationaux,France,1568,In Copyright,https://www.photo.rmn.fr/archive/896907
Trade contract,Eugène Delacroix,3D,Musée d Orsay,France,1661,,https://www.musee-orsay.fr/en/artworks/608257
Chronicle of the kingdom,Camille Pissarro,IMAGE,Musée d Orsay,France,1811,No Copyright Non-Commercial,https://www.musee-orsay.fr/en/artworks/114338
Religious icon,Claude Monet,3D,Musée d Orsay,France,1791,,https://www.musee-orsay.fr/en/artworks/972565
Manuscript fragment,Gustave Courbet,TEXT,Réunion des musées nationaux,France,1770,In Copyright,https://www.photo.rmn.fr/archive/595158
Census record,Jean-Auguste Ingres,TEXT,Musée d Orsay,France,1908,No Copyright Non-Commercial,https://www.musee-orsay.fr/en/artworks/632929
Letter from the archive,Eugène Delacroix,SOUND,Bibliothèque nationale de France,France,1918,No Copyright Non-Commercial,https://gallica.bnf.fr/ark:/12148/380150
Diary entry,Gustave Courbet,3D,Réunion des musées nationaux,France,1844,CC BY 4.0,https://www.photo.rmn.fr/archive/568238
Printed book page,Gustave Courbet,SOUND,Réunion des musées nationaux,France,,CC BY-SA 4.0,https://www.photo.rmn.fr/archive/297816
Map of the region,Gustave Courbet,SOUND,Musée d Orsay,France,1760,In Copyright,https://www.musee-orsay.fr/en/artworks/145767
Official decree,Jean-Auguste Ingres,IMAGE,Musée du Louvre,France,1875,CC0 Public Domain,https://collections.louvre.fr/ark:/53355/232378
Religious icon,Claude Monet,3D,Réunion des musées nationaux,France,1273,No Copyright Non-Commercial,https://www.photo.rmn.fr/archive/579123
Battle scene,Camille Pissarro,IMAGE,Musée du Louvre,France,,In Copyright,https://collections.louvre.fr/ark:/53355/919488
Portrait of a woman,Gustave Courbet,SOUND,Réunion des musées nationaux,France,1786,CC0 Public Domain,https://www.photo.rmn.fr/archive/993140
Diary entry,Eugène Delacroix,3D,Musée du Louvre,France,1830,No Copyright Non-Commercial,https://collections.louvre.fr/ark:/53355/137642
Manuscript fragment,Edgar Degas,IMAGE,Réunion des musées nationaux,France,1812,CC0 Public Domain,https://www.photo.rmn.fr/archive/897305
Trade contract,Edgar Degas,TEXT,Musée du Louvre,France,1707,CC0 Public Domain,https://collections.louvre.fr/ark:/53355/148225
Manuscript fragment,Eugène Delacroix,VIDEO,Réunion des musées nationaux,France,1872,CC BY 4.0,https://www.photo.rmn.fr/archive/356059
Battle scene,Edgar Degas,IMAGE,Musée d Orsay,France,1830,No Copyright Non-Commercial,https://www.musee-orsay.fr/en/artworks/501126
Map of the region,Gustave Courbet,IMAGE,Musée du Louvre,France,1732,In Copyright,https://collections.louvre.fr/ark:/53355/768891
Coat of arms,Jean-Auguste Ingres,TEXT,Bibliothèque nationale de France,France,1588,No Copyright Non-Commercial,https://gallica.bnf.fr/ark:/12148/265649
Town plan,Camille Pissarro,SOUND,Réunion des musées nationaux,France,1912,CC BY-SA 4.0,https://www.photo.rmn.fr/archive/579027
Map of the region,Jean-Auguste Ingres,IMAGE,Musée du Louvre,France,1837,In Copyright,https://collections.louvre.fr/ark:/53355/699704
Architectural drawing,Claude Monet,SOUND,Réunion des musées nationaux,France,1949,CC0 Public Domain,https://www.photo.rmn.fr/archive/693419
Newspaper article,Gustave Courbet,3D,Bibliothèque nationale de France,France,1938,CC BY-SA 4.0,https://gallica.bnf.fr/ark:/12148/913423
Digital reconstruction of building,Edgar Degas,TEXT,Réunion des musées nationaux,France,1949,CC BY-SA 4.0,https://www.photo.rmn.fr/archive/810687
Trade contract,Camille Pissarro,IMAGE,Musée d Orsay,France,1425,,https://www.musee-orsay.fr/en/artworks/777737
Illuminated miniature,Gustave Courbet,VIDEO,Bibliothèque nationale de France,France,1971,CC BY 4.0,https://gallica.bnf.fr/ark:/12148/194511
Still life with flowers,Edgar Degas,TEXT,Musée du Louvre,France,1834,No Copyright Non-Commercial,https://collections.louvre.fr/ark:/53355/483629
Etching of the cathedral,Eugène Delacroix,3D,Musée d Orsay,France,1907,CC BY-SA 4.0,https://www.musee-orsay.fr/en/artworks/882824
Woodcut illustration,Claude Monet,IMAGE,Musée du Louvre,France,1925,CC BY 4.0,https://collections.louvre.fr/ark:/53355/809176
Portrait of a nobleman,Claude Monet,SOUND,Réunion des musées nationaux,France,1594,CC BY-SA 4.0,https://www.photo.rmn.fr/archive/662636
Newspaper article,Gustave Courbet,SOUND,Réunion des musées nationaux,France,1559,,https://www.photo.rmn.fr/archive/489518
Census record,Claude Monet,VIDEO,Musée du Louvre,France,1881,No Copyright Non-Commercial,https://collections.louvre.fr/ark:/53355/332120
Portrait of a woman,Camille Pissarro,TEXT,Musée du Louvre,France,1509,In Copyright,https://collections.louvre.fr/ark:/53355/222343
Religious icon,Jean-Auguste Ingres,IMAGE,Réunion des musées nationaux,France,1616,CC BY 4.0,https://www.photo.rmn.fr/archive/663658
3D scan of sculpture,Camille Pissarro,SOUND,Réunion des musées nationaux,France,1753,,https://www.photo.rmn.fr/archive/861894
Architectural drawing,Jean-Auguste Ingres,SOUND,Bibliothèque nationale de France,France,1856,CC0 Public Domain,https://gallica.bnf.fr/ark:/12148/823811
Religious icon,Edgar Degas,VIDEO,Musée du Louvre,France,1882,,https://collections.louvre.fr/ark:/53355/485178
Architectural drawing,Claude Monet,SOUND,Réunion des musées nationaux,France,1980,CC BY 4.0,https://www.photo.rmn.fr/archive/228093
Portrait of a woman,Camille Pissarro,TEXT,Bibliothèque nationale de France,France,,,https://gallica.bnf.fr/ark:/12148/726152
Still life with flowers,Eugène Delacroix,TEXT,Bibliothèque nationale de France,France,1695,No Copyright Non-Commercial,https://gallica.bnf.fr/ark:/12148/315173
Newspaper article,Gustave Courbet,TEXT,Musée d Orsay,France,1950,CC BY 4.0,https://www.musee-orsay.fr/en/artworks/444519
Still life with flowers,Eugène Delacroix,IMAGE,Bibliothèque nationale de France,France,1907,No Copyright Non-Commercial,https://gallica.bnf.fr/ark:/12148/362829
Legal document,Edgar Degas,IMAGE,Bibliothèque nationale de France,France,1722,CC BY 4.0,https://gallica.bnf.fr/ark:/12148/717457
Illuminated miniature,Claude Monet,IMAGE,Réunion des musées nationaux,France,1516,In Copyright,https://www.photo.rmn.fr/archive/651640
Documentary footage,Jean-Auguste Ingres,VIDEO,Musée du Louvre,France,1828,No Copyright Non-Commercial,https://collections.louvre.fr/ark:/53355/214351
Printed book page,Camille Pissarro,TEXT,Bibliothèque nationale de France,France,1622,,https://gallica.bnf.fr/ark:/12148/132663
Official decree,Jean-Auguste Ingres,IMAGE,Musée du Louvre,France,1520,,https://collections.louvre.fr/ark:/53355/565108
Battle scene,Gustave Courbet,IMAGE,Réunion des musées nationaux,France,1874,CC BY 4.0,https://www.photo.rmn.fr/archive/388375
Printed book page,Jean-Auguste Ingres,TEXT,Réunion des musées nationaux,France,1889,No Copyright Non-Commercial,https://www.photo.rmn.fr/archive/734836
Manuscript fragment,Camille Pissarro,TEXT,Bibliothèque nationale de France,France,1858,In Copyright,https://gallica.bnf.fr/ark:/12148/339592
Letter from the archive,Jean-Auguste Ingres,IMAGE,Musée du Louvre,France,1923,In Copyright,https://collections.louvre.fr/ark:/53355/427704
Battle scene,Camille Pissarro,3D,Musée d Orsay,France,1610,CC0 Public Domain,https://www.musee-orsay.fr/en/artworks/972176
Etching of the cathedral,Camille Pissarro,VIDEO,Bibliothèque nationale de France,France,1643,CC BY 4.0,https://gallica.bnf.fr/ark:/12148/683397
Manuscript fragment,Camille Pissarro,IMAGE,Réunion des musées nationaux,France,1978,CC BY-SA 4.0,https://www.photo.rmn.fr/archive/797660
Legal document,Eugène Delacroix,TEXT,Bibliothèque nationale de France,France,1819,CC0 Public Domain,https://gallica.bnf.fr/ark:/12148/705991
Legal document,Edgar Degas,IMAGE,Musée du Louvre,France,1571,No Copyright Non-Commercial,https://collections.louvre.fr/ark:/53355/485415
Digital reconstruction of building,Jean-Auguste Ingres,IMAGE,Musée d Orsay,France,1901,,https://www.musee-orsay.fr/en/artworks/969752
Census record,Eugène Delacroix,TEXT,Musée d Orsay,France,1273,CC BY-SA 4.0,https://www.musee-orsay.fr/en/artworks/468074
Illuminated miniature,Claude Monet,IMAGE,Musée du Louvre,France,1635,,https://collections.louvre.fr/ark:/53355/132146
Printed book page,Jean-Auguste Ingres,SOUND,Musée d Orsay,France,1892,CC BY-SA 4.0,https://www.musee-orsay.fr/en/artworks/265055
Trade contract,Gustave Courbet,IMAGE,Réunion des musées nationaux,France,1779,CC0 Public Domain,https://www.photo.rmn.fr/archive/263137
Architectural drawing,Camille Pissarro,IMAGE,Bibliothèque nationale de France,France,1877,In Copyright,https://gallica.bnf.fr/ark:/12148/794093
Genre scene,Jean-Auguste Ingres,TEXT,Musée du Louvre,France,1714,No Copyright Non-Commercial,https://collections.louvre.fr/ark:/53355/219346
Documentary footage,Camille Pissarro,3D,Réunion des musées nationaux,France,1402,,https://www.photo.rmn.fr/archive/423401
Chronicle of the kingdom,Claude Monet,TEXT,Bibliothèque nationale de France,France,1565,CC BY 4.0,https://gallica.bnf.fr/ark:/12148/904624
Portrait of a nobleman,Eugène Delacroix,IMAGE,Réunion des musées nationaux,France,1816,In Copyright,https://www.photo.rmn.fr/archive/883301
